;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S34;Reposo_EEG_OI;0.005352091803203735;0.0057541606846374885;0.028765718634235205;0.008950007205260641;0.01094539189213818;0.01645383106059535;0.14898140902138174;0.03104509383805881;0.05553754777373478;0.09101062227058361;0.47999744611502715;0.11591666502640986
S36;Reposo_EEG_OI;0.00130794973190791;0.003080839244299545;0.012942259665287496;0.001785262531184936;0.0047372358721708046;0.024604841643097834;0.10392277449559252;0.007531367136275288;0.022797971678783002;0.15341435467706888;0.6294377229207636;0.03414171520999092
S37;Reposo_EEG_OI;0.008962180099612372;0.01234053567326773;0.017367160514416308;0.014250365614477829;0.02570922104177007;0.03027178884778417;0.08895943393248541;0.05193195721850403;0.10699828462774828;0.10366632572454643;0.35858823963195857;0.1795335104199123
S2;acuity_left;0.009106475861960315;0.019194449881071364;0.014927829754236522;0.023224638824938547;0.021439029562326503;0.04377270896462889;0.04150011707566051;0.07910796788932088;0.08685534680738212;0.14994967313437985;0.16902487711142591;0.3299265303439187
S3;acuity_left;0.048353892128725706;0.03341153584384396;0.011443476447919878;0.016554936179863075;0.07143957531441052;0.06594855405245473;0.03185553452125173;0.05404401426779254;0.15041642977405714;0.1888643869147095;0.11127550969216833;0.21224660635545414
S5;acuity_left;0.014228540516636703;0.026297340078763536;0.0455553628771707;0.017005409211239306;0.02964940804072768;0.058116782573398584;0.1028621426092968;0.04473576433319198;0.10260698391862541;0.13032657511762072;0.2821740623233518;0.14238883080245865
S6;acuity_left;0.014979865252669271;0.02545245764571945;0.013965009769781895;0.0160718441266666;0.03116377403448336;0.056154711331999715;0.044815386395587256;0.06189232896056259;0.1135575957475859;0.1484175810261674;0.1847900901076811;0.28436390011649615
S7;acuity_left;0.017843038711184377;0.027826296993319833;0.01116970230372612;0.014235620945700803;0.035973088946556084;0.0655199664747411;0.03872134729640959;0.0610453869071336;0.12461632954301796;0.21620854054180327;0.1506417333227778;0.23381166765506084
S10;acuity_left;0.02304543949655368;0.026288963961727255;0.012365561828673814;0.017510098987858734;0.02969585284989505;0.04749569671927982;0.037394159360895726;0.07031931215593439;0.11043436920112451;0.15727033957241468;0.1693582290039023;0.2935005832855664
S11;acuity_left;0.029097989928693037;0.039873434066609904;0.026679693829155172;0.021616597116583588;0.05057802611143691;0.07063210073703922;0.04701410719348028;0.05004915222400109;0.151491501802107;0.20941179553132755;0.15265427301838222;0.14704389276398538
S13;acuity_left;0.020963594999092006;0.03997302434262694;0.013409777875896178;0.024812504459650487;0.032075538365518824;0.07823809843238941;0.03519714925668603;0.06036127115443761;0.10449381202334686;0.2166461221693216;0.12086085945938187;0.24845348892038085
S14;acuity_left;0.024134487576139937;0.01902710533726837;0.021993701214916804;0.021531138204634107;0.04166107839400472;0.03847189788457218;0.044216535071760335;0.06888537552972968;0.14387402082795472;0.13826555898448373;0.14585529345653023;0.2781554060142077
S15;acuity_left;0.011928654186906062;0.03302812825938212;0.024371953649341558;0.019474857301537335;0.021431013010861144;0.061310748839305325;0.062495238182903166;0.053348333818589604;0.07315597478906197;0.15585724898724537;0.29327934840355835;0.18495888738799804
S16;acuity_left;0.01478378327630453;0.018631643293656994;0.01161478866457632;0.017113502837972472;0.023219460752861;0.042712864085474936;0.045896912720999467;0.08555680226253104;0.09049694909214606;0.1508991520931105;0.15977762572847254;0.3326566709040968
